yyb_name,total,first_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,last_date
上海证券有限责任公司闸北北苏州路证券营业部,4,2015-11-30,0,0,0,0,0,0,0,0,0,0,0,3,1,2016-03-14
上海证券有限责任公司青浦明珠路证券营业部,2,2016-01-04,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-02-01
上海证券有限责任公司青浦证券营业部,6,2015-09-30,0,0,0,0,0,0,0,0,0,0,0,1,5,2016-08-08
上海证券有限责任公司高安路证券营业部,19,2015-10-09,0,0,0,0,0,0,0,0,0,0,0,5,14,2016-08-15
上海证券有限责任公司鳌江兴敖中路证券营业部,5,2016-05-12,0,0,0,0,0,0,0,0,0,0,0,0,5,2016-08-29
上海证券有限责任公司鼓浪路证券营业部,1,2015-09-18,0,0,0,0,0,0,0,0,0,0,0,1,0,2015-09-18
世纪证券有限责任公司上海威海路证券营业部,7,2015-09-24,0,0,0,0,0,0,0,0,0,0,0,3,4,2016-06-17
世纪证券有限责任公司九江庐山区长虹大道证券营业部,1,2015-12-29,0,0,0,0,0,0,0,0,0,0,0,1,0,2015-12-29
世纪证券有限责任公司北京平安大街证券营业部,3,2016-02-04,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-08-12
世纪证券有限责任公司南京中山南路证券营业部,2,2015-11-09,0,0,0,0,0,0,0,0,0,0,0,1,1,2016-01-27
世纪证券有限责任公司南昌北京西路证券营业部,8,2015-09-30,0,0,0,0,0,0,0,0,0,0,0,2,6,2016-07-27
世纪证券有限责任公司南昌民德路证券营业部,3,2016-02-22,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-08-19
世纪证券有限责任公司南昌阳明路证券营业部,13,2015-11-06,0,0,0,0,0,0,0,0,0,0,0,4,9,2016-09-02
世纪证券有限责任公司宜春上高和平路证券营业部,2,2016-08-25,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-08-25
世纪证券有限责任公司山西分公司,1,2016-03-08,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-03-08
世纪证券有限责任公司广州天河路证券营业部,5,2015-12-31,0,0,0,0,0,0,0,0,0,0,0,1,4,2016-08-15
世纪证券有限责任公司抚州东乡龙山北路证券营业部,3,2015-10-13,0,0,0,0,0,0,0,0,0,0,0,3,0,2015-11-24
世纪证券有限责任公司抚州大公路证券营业部,5,2015-10-14,0,0,0,0,0,0,0,0,0,0,0,1,4,2016-07-06
世纪证券有限责任公司新余仙来中大道证券营业部,6,2015-11-18,0,0,0,0,0,0,0,0,0,0,0,2,4,2016-08-05
世纪证券有限责任公司昆明青年路证券营业部,2,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,1,1,2016-04-06
世纪证券有限责任公司景德镇新厂林萌路证券营业部,1,2016-07-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-07-25
世纪证券有限责任公司樟树富通街证券营业部,3,2016-02-26,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-03-11
世纪证券有限责任公司济南小纬二路证券营业部,1,2015-11-26,0,0,0,0,0,0,0,0,0,0,0,1,0,2015-11-26
