yyb_name,total,first_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,last_date
万联证券有限责任公司衡阳解放大道证券营业部,5,2011-09-14,0,0,0,0,0,0,0,2,0,1,0,2,0,2015-08-05
万联证券有限责任公司衡阳证券营业部,76,2006-07-10,0,0,5,12,15,8,5,3,10,4,2,12,0,2015-11-26
万联证券有限责任公司西安科技路证券营业部,6,2015-06-29,0,0,0,0,0,0,0,0,0,0,0,4,2,2016-07-25
万联证券有限责任公司鄂州滨湖北路证券营业部,61,2007-06-05,0,0,0,4,11,8,9,1,11,7,10,0,0,2014-12-19
万联证券有限责任公司鄂州滨湖南路证券营业部,16,2015-03-27,0,0,0,0,0,0,0,0,0,0,0,10,6,2016-07-20
万联证券有限责任公司黄石天津路证券营业部,51,2006-08-30,0,0,1,8,10,3,7,4,10,1,2,2,3,2016-08-19
万联证券经纪有限责任公司衡阳证券营业部,2,2004-08-26,2,0,0,0,0,0,0,0,0,0,0,0,0,2004-08-26
三江源证券唐山卫国路部,7,2006-06-22,0,0,6,1,0,0,0,0,0,0,0,0,0,2007-02-27
三江源证券经纪有限公司唐山卫国路证券营业部,9,2005-04-20,0,1,0,8,0,0,0,0,0,0,0,0,0,2007-12-17
三江源证券经纪有限公司大连庄河市黄海大街证券营业部,4,2007-01-31,0,0,0,4,0,0,0,0,0,0,0,0,0,2007-04-03
三江源证券经纪有限公司深圳民田路证券营业部,9,2007-04-04,0,0,0,9,0,0,0,0,0,0,0,0,0,2007-12-20
三江源证券经纪有限公司盘锦泰山路证券营业部,4,2007-05-08,0,0,0,4,0,0,0,0,0,0,0,0,0,2007-11-06
三江源证券经纪有限公司西宁长江路证券营业部,14,2007-04-30,0,0,0,14,0,0,0,0,0,0,0,0,0,2007-12-14
三江源证券经纪有限公司辽阳中华大街第一证券营业部,1,2007-03-20,0,0,0,1,0,0,0,0,0,0,0,0,0,2007-03-20
三江源证券经纪有限公司黑河中央街证券营业部,1,2007-09-07,0,0,0,1,0,0,0,0,0,0,0,0,0,2007-09-07
上海华信证券有限责任公司上海仙霞路证券营业部,14,2014-12-23,0,0,0,0,0,0,0,0,0,0,1,8,5,2016-03-11
上海天钥桥路营业部,1,2007-03-08,0,0,0,1,0,0,0,0,0,0,0,0,0,2007-03-08
上海曲阳路营业部,1,2007-03-15,0,0,0,1,0,0,0,0,0,0,0,0,0,2007-03-15
上海证券,15,2004-06-28,12,2,0,1,0,0,0,0,0,0,0,0,0,2007-04-23
上海证券乐清乐成镇乐怡路证券营业部,14,2008-11-11,0,0,0,0,2,12,0,0,0,0,0,0,0,2009-08-31
上海证券交易单元(226200),3,2010-02-10,0,0,0,0,0,0,3,0,0,0,0,0,0,2010-04-21
上海证券交易单元(255400),1,2008-09-26,0,0,0,0,1,0,0,0,0,0,0,0,0,2008-09-26
上海证券交易单元(284100),5,2010-06-30,0,0,0,0,0,0,1,4,0,0,0,0,0,2011-08-02
上海证券北京东四十条证券营业部,1,2008-10-17,0,0,0,0,1,0,0,0,0,0,0,0,0,2008-10-17
上海证券南京洪武路证券营业部,1,2009-03-06,0,0,0,0,0,1,0,0,0,0,0,0,0,2009-03-06
上海证券南京西路证券营业部,3,2008-11-03,0,0,0,0,3,0,0,0,0,0,0,0,0,2008-12-16
上海证券嘉兴中山西路证券营业部,1,2009-07-28,0,0,0,0,0,1,0,0,0,0,0,0,0,2009-07-28
上海证券嘉兴越秀北路证券营业部,4,2009-05-15,0,0,0,0,0,4,0,0,0,0,0,0,0,2009-07-06
上海证券大连同兴街证券营业部,1,2009-08-13,0,0,0,0,0,1,0,0,0,0,0,0,0,2009-08-13
上海证券广州东风中路证券营业部,2,2009-02-26,0,0,0,0,0,2,0,0,0,0,0,0,0,2009-06-11
上海证券广州员村二横路证券营业部,3,2009-07-24,0,0,0,0,0,3,0,0,0,0,0,0,0,2009-08-28
上海证券有限责任公司,18,2013-06-05,0,0,0,0,0,0,0,0,0,2,11,3,2,2016-06-15
上海证券有限责任公司上海临平路证券营业部,20,2006-08-17,0,0,3,3,2,5,0,4,1,1,1,0,0,2014-11-20
上海证券有限责任公司东方路证券营业部,83,2006-08-23,0,0,2,12,7,9,2,3,15,13,7,10,3,2016-08-18
上海证券有限责任公司临平路证券营业部,52,2006-07-25,0,0,2,3,4,0,1,3,1,5,22,10,1,2016-02-02
上海证券有限责任公司乐清乐成镇乐怡路证券营业部,151,2008-09-25,0,0,0,0,19,19,24,30,55,4,0,0,0,2013-03-18
上海证券有限责任公司乐清旭阳路证券营业部,163,2013-03-28,0,0,0,0,0,0,0,0,0,21,21,83,38,2016-08-30
上海证券有限责任公司乐清柳市惠丰路证券营业部,42,2010-10-18,0,0,0,0,0,0,3,3,3,5,11,9,8,2016-07-13
上海证券有限责任公司乐清虹桥飞虹南路证券营业部,43,2010-06-28,0,0,0,0,0,0,1,2,4,9,6,16,5,2016-05-11
上海证券有限责任公司乐都路证券营业部,227,2010-09-10,0,0,0,0,0,0,12,19,43,106,11,27,9,2016-07-29
上海证券有限责任公司九亭证券营业部,14,2012-11-29,0,0,0,0,0,0,0,0,2,6,1,4,1,2016-07-25
上海证券有限责任公司九江路证券营业部,39,2006-09-20,0,0,5,5,7,3,1,4,2,4,6,2,0,2015-10-09
上海证券有限责任公司公司总部,5,2006-11-27,0,0,3,1,1,0,0,0,0,0,0,0,0,2008-09-04
上海证券有限责任公司北京万寿路证券营业部,47,2006-08-08,0,0,3,2,6,2,1,1,5,10,8,8,1,2016-02-15
上海证券有限责任公司北京东四十条证券营业部,1,2008-10-08,0,0,0,0,1,0,0,0,0,0,0,0,0,2008-10-08
上海证券有限责任公司北京东直门南大街证券营业部,11,2010-06-02,0,0,0,0,0,0,5,0,5,1,0,0,0,2013-02-07
